doctor_id,doctor_name_zh,hospital_zh,department_zh,subdepartment_zh,specialty_raw_zh,source_url
CGMH_LINKOU_CARDIO_032,賀萬靖,林口長庚紀念醫院,心臟內科,心臟內科,肺高壓、周邊血管超音波、心臟超音波,
CGMH_LINKOU_CARDIO_033,林莞芹,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、心臟超音波、心衰竭治療、一般心臟學,
CGMH_LINKOU_CARDIO_034,洪國竣,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、心臟血管超音波,
CGMH_LINKOU_CARDIO_035,林佳濱,林口長庚紀念醫院,心臟內科,心臟內科,心導管檢查及介入性治療 、週邊血管超音波,
CGMH_LINKOU_CARDIO_036,張尚宏,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波,
CGMH_LINKOU_CARDIO_037,陳東藝,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波,
CGMH_LINKOU_CARDIO_038,唐嘉駿,林口長庚紀念醫院,心臟內科,心臟內科,內科,
CGMH_LINKOU_CARDIO_039,黃仕鴻,林口長庚紀念醫院,心臟內科,心臟內科,內科,
CGMH_LINKOU_CARDIO_040,曾子慈,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_041,王俊力,林口長庚紀念醫院,心臟內科,心臟內科,心臟超音波、心衰竭治療、一般心臟學,
CGMH_LINKOU_CARDIO_042,吳德朗,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、心律不整,
CGMH_LINKOU_CARDIO_043,李振宏,林口長庚紀念醫院,心臟內科,心臟內科,介入型心導管治療及檢查、生醫材料、幹細胞、外泌體治療,
CGMH_LINKOU_CARDIO_044,周星賢,林口長庚紀念醫院,心臟內科,心臟內科,心導管檢查及介入性治療 、週邊血管超音波,
CGMH_LINKOU_CARDIO_045,董穎璋,林口長庚紀念醫院,心臟內科,心臟內科,心導管檢查及介入性治療 、週邊血管超音波,
CGMH_LINKOU_CARDIO_046,蕭富致,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_047,蔡宗翰,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_048,黃柏棣,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_049,陳俊吉,林口長庚紀念醫院,心臟內科,心臟內科,心導管檢查及介入性治療、週邊血管超音坡,
